,entity_type,n_possible_dependents,possible_dependents,raw_sentence,sentence_position,sentence_root,text_value
0,PERSON,2,"PERSON:b'Page, PERSON:5403\n\nIN",b'Page 5403\n\nIN,0,b'Page,b'Page 5403\n\nIN
1,ORG,2,"ORG:AF\n\nROBERT, ORG:SHULMAN,\n\nPlaintiff","AF\n\nROBERT SHULMAN,\n\nPlaintiff, vs .\n\nR.J.",26,"SHULMAN,\n\nPlaintiff","AF\n\nROBERT SHULMAN,\n\nPlaintiff"
2,ORG,2,"ORG:REYNOLDS, ORG:TOBACCO","REYNOLDS TOBACCO COMPANY, et al., Defendants.\n\nTRIAL - VOLUME 40 (Pages 5403 - 5538)\n\nDATE",31,COMPANY,REYNOLDS TOBACCO
3,PHONE_NUMBER,2,"ORG:REYNOLDS, ORG:TOBACCO","REYNOLDS TOBACCO COMPANY, et al., Defendants.\n\nTRIAL - VOLUME 40 (Pages 5403 - 5538)\n\nDATE",31,COMPANY,403 5538
4,ORG,14,"ORG:Beach, ORG:County, ORG:Courthouse, ORG:by:\n\nJanette, ORG:P., ORG:Moreno, ORG:CRR, ORG:,, ORG:CLR, ORG:,, ORG:CCP, ORG:,, ORG:FPR\n\nUnited, ORG:Reporting","9:57 a.m. - 12:00 p.m.\n\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\n\nEdward L. Artau, Circuit Judge\n\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\n\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\n\nUnited Reporting,",54,came,Beach County Courthouse
5,ORG,14,"ORG:Beach, ORG:County, ORG:Courthouse, ORG:by:\n\nJanette, ORG:P., ORG:Moreno, ORG:CRR, ORG:,, ORG:CLR, ORG:,, ORG:CCP, ORG:,, ORG:FPR\n\nUnited, ORG:Reporting","9:57 a.m. - 12:00 p.m.\n\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\n\nEdward L. Artau, Circuit Judge\n\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\n\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\n\nUnited Reporting,",54,came,by:\n\nJanette P. Moreno
6,ORG,14,"ORG:Beach, ORG:County, ORG:Courthouse, ORG:by:\n\nJanette, ORG:P., ORG:Moreno, ORG:CRR, ORG:,, ORG:CLR, ORG:,, ORG:CCP, ORG:,, ORG:FPR\n\nUnited, ORG:Reporting","9:57 a.m. - 12:00 p.m.\n\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\n\nEdward L. Artau, Circuit Judge\n\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\n\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\n\nUnited Reporting,",54,came,"CRR, CLR, CCP, FPR\n\nUnited Reporting"
7,ORG,7,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, ORG:Avenue\n\nFort, ORG:Lauderdale, PERSON:Janette, PERSON:Moreno","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale
8,PERSON,7,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, ORG:Avenue\n\nFort, ORG:Lauderdale, PERSON:Janette, PERSON:Moreno","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,Janette Moreno
9,PHONE_NUMBER,7,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, ORG:Avenue\n\nFort, ORG:Lauderdale, PERSON:Janette, PERSON:Moreno","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,525.2221
10,PHONE_NUMBER,7,"ORG:Inc.\n\n1218, ORG:S.E., ORG:3rd, ORG:Avenue\n\nFort, ORG:Lauderdale, PERSON:Janette, PERSON:Moreno","Inc.\n\n1218 S.E. 3rd Avenue\n\nFort Lauderdale, Florida  33316\n\n954.525.2221\n\nElectronically signed by Janette Moreno (101-102-894-2796)\n\n89734d16-9ef 1 -419c-8d7b-404753ca232b\x0c\npgNbr=1\nAPPEARANCES\n\n2\n\n3 4\n\n5",113,Inc.\n\n1218,894-2796
