center,cluster,cluster_member,cumulative_cluster_score,entity_type,number_of_clusters,number_of_members,raw_sentence,sentence_position,text_value
[  0.   2.   0.   2. 232. 474.  78. 194.],0,0,0,['PERSON'],725,1,"[""b'Page 5403\\n\\nIN""]",[0],"[""b'Page 5403\\n\\nIN""]"
[  2.   2.  31.   1.  38. 297.  14. 142.],1,2,1,['ORG'],725,1,"['REYNOLDS TOBACCO COMPANY, et al., Defendants.\\n\\nTRIAL - VOLUME 40 (Pages 5403 - 5538)\\n\\nDATE']",[31],['REYNOLDS TOBACCO']
[  3.   2.  31.   3.  38. 297.  14.  18.],2,3,0,['PHONE_NUMBER'],725,1,"['REYNOLDS TOBACCO COMPANY, et al., Defendants.\\n\\nTRIAL - VOLUME 40 (Pages 5403 - 5538)\\n\\nDATE']",[31],['403 5538']
[ 4. 14. 54.  1.  4. 33. 91. 31.],3,1,0,['ORG'],725,3,"['AF\\n\\nROBERT SHULMAN,\\n\\nPlaintiff, vs .\\n\\nR.J.']",[26],"['AF\\n\\nROBERT SHULMAN,\\n\\nPlaintiff']"
[ 4. 14. 54.  1.  4. 33. 91. 31.],3,4,1,['ORG'],725,3,"['9:57 a.m. - 12:00 p.m.\\n\\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\\n\\nEdward L. Artau, Circuit Judge\\n\\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\\n\\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\\n\\nUnited Reporting,']",[54],['Beach County Courthouse']
[ 4. 14. 54.  1.  4. 33. 91. 31.],3,6,1,['ORG'],725,3,"['9:57 a.m. - 12:00 p.m.\\n\\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\\n\\nEdward L. Artau, Circuit Judge\\n\\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\\n\\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\\n\\nUnited Reporting,']",[54],"['CRR, CLR, CCP, FPR\\n\\nUnited Reporting']"
[  5.  14.  54.   1.   4.  33.  91. 197.],4,5,0,['ORG'],725,1,"['9:57 a.m. - 12:00 p.m.\\n\\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\\n\\nEdward L. Artau, Circuit Judge\\n\\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\\n\\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\\n\\nUnited Reporting,']",[54],['by:\\n\\nJanette P. Moreno']
[ 10.   7. 113.   3.  21. 216.  33.  22.],5,7,0,['ORG'],725,7,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale']
[ 10.   7. 113.   3.  21. 216.  33.  22.],5,8,1,['PERSON'],725,7,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['Janette Moreno']
[ 10.   7. 113.   3.  21. 216.  33.  22.],5,9,2,['PHONE_NUMBER'],725,7,"['Inc.\\n\\n1218 S.E. 3rd Avenue\\n\\nFort Lauderdale, Florida  33316\\n\\n954.525.2221\\n\\nElectronically signed by Janette Moreno (101-102-894-2796)\\n\\n89734d16-9ef 1 -419c-8d7b-404753ca232b\\x0c\\npgNbr=1\\nAPPEARANCES\\n\\n2\\n\\n3 4\\n\\n5']",[113],['525.2221']
